Listing_id,Host_id,ID_ciudad,Precio
290503,449677,8,164
291290,402478,8,359
291771,1511425,8,2922
291804,1511568,5,620
293166,1464031,8,232
293171,1464031,8,232
294292,1309444,8,250
295493,1526160,8,220
295955,1527388,8,129
297908,690494,8,132
298873,1539548,5,1533
298913,1540501,8,263
299352,1543711,8,818
306113,1574255,8,171
307714,1583161,8,269
310233,1595467,8,349
311801,1603206,8,99
312773,1608293,5,1431
313223,792218,8,191
313441,1451937,8,66
313680,1612576,8,323
314975,1617355,8,600
315102,1618278,8,156
315109,1618486,8,232
316355,1624674,8,401
316652,1626226,8,136
318861,1635489,8,592
321637,1641925,8,709
321648,1641925,8,709
321802,1572599,8,80
321803,1572599,8,1364
322004,1648634,8,242
323030,970609,5,826
323213,1603013,8,215
324324,1659441,8,200
324541,1641925,8,1909
324679,496656,8,98
324769,1661848,5,654
324827,1622624,8,436
325812,1666388,5,599
326205,1603206,8,90
326296,1664327,5,307
326393,1668941,8,190
326475,1670032,5,1100
326575,1668565,8,227
326674,1572599,8,80
327375,1673501,8,3300
328626,1675497,8,1250
328668,1678723,8,200
329532,1681966,5,409
329615,1416853,8,1091
329776,1683373,5,286
330146,1683850,8,200
331088,530231,8,91
331199,1689028,8,120
331788,1691633,5,1590
332150,406989,8,66
332151,406989,8,66
332374,1693952,8,131
333305,1698297,8,2584
336569,1712679,8,210
337105,1464031,8,298
337345,1714680,8,2727
342874,829630,8,138
344463,1762102,8,396
346694,1612576,8,355
347295,1603206,8,99
347754,1762542,5,818
347782,790898,8,200
347820,235496,8,762
347883,1763389,8,250
350079,1773936,5,1136
355075,1707318,8,1091
355285,1794600,8,1081
357324,1808252,5,2044
357554,1809627,8,141
357889,541570,8,80
358339,1812201,8,1346
358365,1812201,8,1346
360877,1824379,8,183
361568,1172595,8,493
362583,1832239,5,1342
363370,1834286,8,184
368146,1858602,8,209
370092,618769,5,444
371899,1872525,8,1600
371950,1858602,8,225
373792,1821523,5,929
375032,1886913,5,1350
380887,1910409,8,214
382712,1918084,5,700
382904,1915348,5,1022
383985,1922831,8,191
386265,1933252,5,298
392267,1961007,8,93
394953,1974118,8,242
395446,899360,5,2127
395586,1976943,8,180
396849,1982737,8,543
397397,1548126,8,160
398215,149407,8,6997
398226,149407,8,600
399342,1994316,8,1300
399476,1994382,8,424
400326,1998370,8,235
400887,2000722,8,279
402104,2007018,8,250
404771,1409553,8,400
404811,581488,8,150
405444,2020642,8,164
406425,2025433,8,978
406603,1610574,8,685
409038,1603206,8,144
409156,396108,8,98
409183,396108,8,80
409668,2039483,8,180
416290,1989397,8,200
